?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,NZVC,јдр,«нчн
302,0200,302,0000,000,0000,000,0000,0000,0100
302,0200,303,0200,302,0200,000,0302,0000,0100
303,EE1A,304,EE1A,31E,0000,000,001A,0000,0100,31E,0000
304,AE16,305,AE16,31B,0000,000,0016,0000,0100
305,0C00,306,0C00,7FF,0000,7FF,0305,0000,0100,7FF,0000
306,D732,732,D732,7FE,0307,7FE,D732,0000,0100,7FE,0307
732,AC01,733,AC01,7FF,0000,7FE,0001,0000,0100
733,F204,734,F204,733,F204,7FE,0733,0000,0100
734,F003,738,F003,734,F003,7FE,0003,0000,0100
738,4C01,739,4C01,7FF,0000,7FE,0001,0000,0100
739,4C01,73A,4C01,7FF,0000,7FE,0001,0000,0100
73A,6E05,73B,6E05,740,008F,7FE,0005,FF71,1000
73B,CE01,73D,CE01,73B,073D,7FE,0001,FF71,1000
73D,EC01,73E,EC01,7FF,FF71,7FE,0001,FF71,1000,7FF,FF71
73E,0A00,307,0A00,7FE,0307,7FF,073E,FF71,1000
307,0800,308,0800,7FF,FF71,000,0307,FF71,1000
308,0700,309,0700,308,0700,000,0308,FF72,1000
309,6E14,30A,6E14,31E,0000,000,0014,FF72,1001
30A,EE13,30B,EE13,31E,FF72,000,0013,FF72,1001,31E,FF72
30B,AE11,30C,AE11,31D,0000,000,0011,0000,0101
30C,0740,30D,0740,30C,0740,000,030C,FFFF,1000
30D,0C00,30E,0C00,7FF,FFFF,7FF,030D,FFFF,1000,7FF,FFFF
30E,D732,732,D732,7FE,030F,7FE,D732,FFFF,1000,7FE,030F
732,AC01,733,AC01,7FF,FFFF,7FE,0001,FFFF,1000
733,F204,738,F204,733,F204,7FE,0004,FFFF,1000
738,4C01,739,4C01,7FF,FFFF,7FE,0001,FFFE,1001
739,4C01,73A,4C01,7FF,FFFF,7FE,0001,FFFD,1001
73A,6E05,73B,6E05,740,008F,7FE,0005,FF6E,1001
73B,CE01,73D,CE01,73B,073D,7FE,0001,FF6E,1001
73D,EC01,73E,EC01,7FF,FF6E,7FE,0001,FF6E,1001,7FF,FF6E
73E,0A00,30F,0A00,7FE,030F,7FF,073E,FF6E,1001
30F,0800,310,0800,7FF,FF6E,000,030F,FF6E,1001
310,0700,311,0700,310,0700,000,0310,FF6F,1000
311,6E0C,312,6E0C,31E,FF72,000,000C,FFFD,1000
312,EE0B,313,EE0B,31E,FFFD,000,000B,FFFD,1000,31E,FFFD
313,AE08,314,AE08,31C,0000,000,0008,0000,0100
314,0C00,315,0C00,7FF,0000,7FF,0314,0000,0100,7FF,0000
315,D732,732,D732,7FE,0316,7FE,D732,0000,0100,7FE,0316
732,AC01,733,AC01,7FF,0000,7FE,0001,0000,0100
733,F204,734,F204,733,F204,7FE,0733,0000,0100
734,F003,738,F003,734,F003,7FE,0003,0000,0100
738,4C01,739,4C01,7FF,0000,7FE,0001,0000,0100
739,4C01,73A,4C01,7FF,0000,7FE,0001,0000,0100
73A,6E05,73B,6E05,740,008F,7FE,0005,FF71,1000
73B,CE01,73D,CE01,73B,073D,7FE,0001,FF71,1000
73D,EC01,73E,EC01,7FF,FF71,7FE,0001,FF71,1000,7FF,FF71
73E,0A00,316,0A00,7FE,0316,7FF,073E,FF71,1000
316,0800,317,0800,7FF,FF71,000,0316,FF71,1000
317,0700,318,0700,317,0700,000,0317,FF72,1000
318,4E05,319,4E05,31E,FFFD,000,0005,FF6F,1001
319,EE04,31A,EE04,31E,FF6F,000,0004,FF6F,1001,31E,FF6F
31A,0100,31B,0100,31A,0100,000,031A,FF6F,1001
